,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
380,기흥구,신갈동,분양,갈현마을 현대홈타운,584,2001.06.21.,"기흥구 관곡로 16 (신갈동, 갈현마을현대홈타운아파트)",경기 용인시 기흥구 신갈동 159,127.106551123415,37.2811569983481
381,기흥구,신갈동,분양,양현마을 풍림 신안아파트,776,2001.05.23.,"기흥구 산양로 17 (신갈동, 양현마을풍림신안아파트)",경기 용인시 기흥구 신갈동 158,127.106446862302,37.2848705435733
382,기흥구,신갈동,분양,인성마을 신갈현대아파트,293,1997.06.04.,"기흥구 용구대로 2242 (신갈동, 인성마을현대아파트)",경기 용인시 기흥구 신갈동 151-1,127.108090705262,37.2866334673516
383,기흥구,신갈동,분양,신미주아파트,247,1995.02.24.,"기흥구 신갈로138번길 12 (신갈동, 신미주아파트)",경기 용인시 기흥구 신갈동 14-4,127.107329969039,37.2786181570696
384,기흥구,신갈동,분양,삼익아파트,296,1999.02.20.,"기흥구 신갈로124번길 3 (신갈동, 삼익아파트)",경기 용인시 기흥구 신갈동 14,127.106075977986,37.2783666358939
385,기흥구,신갈동,분양,드림랜드아파트,299,1992.08.05.,"기흥구 용구대로2152번길 39 (신갈동, 드림랜드아파트)",경기 용인시 기흥구 신갈동 116-2,127.109843406507,37.2802198818253
386,기흥구,신갈동,분양,도무스빌,46,2011.11.30,"기흥구 신갈로138번길 11 (신갈동, 도무스빌)",경기 용인시 기흥구 신갈동 1-10,127.107108780437,37.2791250119071
387,기흥구,신갈동,분양,녹원마을 새천년그린빌 4단지,923,2004.07.16.,"기흥구 새천년로 40 (신갈동, 녹원마을새천년그린빌4단지아파트)",경기 용인시 기흥구 신갈동 703,127.114198561785,37.2882245520391
388,기흥구,언남동,분양,스파 팰리스 리가,533,2013.02.07(2012.07.02),"기흥구 언남로 5 (언남동, 스파팰리스리가)",경기 용인시 기흥구 언남동 503,127.123979272219,37.2929722800738
389,기흥구,영덕동,분양,우남퍼스트빌 리젠트,153,2009.04.24.,"기흥구 흥덕중앙로105번길 40 (영덕동, 흥덕마을15단지흥덕우남퍼스트빌리젠트아파)",경기 용인시 기흥구 영덕동 953,127.082183227258,37.2808919659532
390,기흥구,영덕동,분양,흥덕마을 11단지 경남아너스빌,545,2009.04.28.,"기흥구 흥덕중앙로105번길 41 (영덕동, 흥덕마을11단지경남아너스빌아파트)",경기 용인시 기흥구 영덕동 952,127.076604054775,37.2810160867146
391,기흥구,영덕동,분양,청현마을 기흥데시앙아파트,400,2005.01.11.(2004.09.04.),"기흥구 덕영대로2077번길 53 (영덕동, 청현마을태영데시앙아파트)",경기 용인시 기흥구 영덕동 947,127.093546638446,37.2651606454878
392,기흥구,영덕동,분양,청현마을 대명레이크빌아파트,401,2005.01.07.(2004.07.01.),"기흥구 덕영대로2077번길 55 (영덕동, 청현마을대명레이크빌아파트)",경기 용인시 기흥구 영덕동 946,127.092212720784,37.2653390169452
393,기흥구,영덕동,분양,영통빌리지,472,1999.11.06.,"기흥구 중부대로55번길 11 (영덕동, 주공영통빌리지)",경기 용인시 기흥구 영덕동 916,127.076022823788,37.2681737532139
394,기흥구,영덕동,분양,영덕 신일 1차아파트,662,1998.12.12.,"기흥구 덕영대로2077번길 20 (영덕동, 청현마을신일아파트)",경기 용인시 기흥구 영덕동 15,127.096287742686,37.2675557588544
395,기흥구,영덕동,분양,영덕 신일 2차아파트,239,1998.12.12.,"기흥구 덕영대로2077번길 20 (영덕동, 청현마을신일아파트)",경기 용인시 기흥구 영덕동 15,127.096287742686,37.2675557588544
396,기흥구,영덕동,분양,청현마을 신갈 두진아파트,541,1996.11.08.,"기흥구 덕영대로2077번길 8 (영덕동, 두진아파트)",경기 용인시 기흥구 영덕동 13,127.095855224609,37.2690334569471
397,기흥구,영덕동,분양,흥덕마을 13단지 경남아너스빌,368,2009.06.19.,"기흥구 흥덕4로30번길 11 (영덕동, 흥덕마을13단지경남아너스빌아파트)",경기 용인시 기흥구 영덕동 1117,127.091599921079,37.2762630808747
398,기흥구,영덕동,분양,흥덕마을14단지 호반베르디움,236,2010.02.05.,"기흥구 흥덕3로 60 (영덕동, 흥덕마을14단지호반베르디움아파트)",경기 용인시 기흥구 영덕동 1079,127.082868553444,37.2736601925162
399,기흥구,언남동,분양,캐슬타운,40,2012.06.19.,기흥구 언남로29번서길 1 (언남동),경기 용인시 기흥구 언남동 501,127.128729416982,37.2956915844557
400,기흥구,언남동,분양,초원마을 성원상떼빌,860,2005.05.18.,"기흥구 기흥로116번길 100 (언남동, 초원마을성원상떼빌아파트)",경기 용인시 기흥구 언남동 500,127.125693279745,37.2893754230178
401,기흥구,언남동,분양,하마비마을 동일하이빌2차아파트,837,2002.08.01.,"기흥구 언남로 15 (언남동, 동일하이빌2차아파트)",경기 용인시 기흥구 언남동 496,127.127511504781,37.2939727333271
402,기흥구,언남동,분양,장미마을 삼성래미안 2차 아파트,1219,2003.12.17.,"기흥구 구성로 90 (언남동, 삼성래미안2차아파트)",경기 용인시 기흥구 언남동 495,127.119390375907,37.293235775676
403,기흥구,언남동,분양,하마비마을 동부센트레빌,418,2002.01.31.,"기흥구 구성로 99 (언남동, 하마비마을동부센트레빌아파트)",경기 용인시 기흥구 언남동 493,127.12086827806,37.2948833537084
404,기흥구,언남동,분양,언동마을 신일해피트리,591,2001.12.12.,"기흥구 구성로 184 (언남동, 푸른솔신일아파트)",경기 용인시 기흥구 언남동 490,127.131377562635,37.2903093930033
405,기흥구,언남동,분양,하마비마을 동일하이빌1차,999,2001.09.21.,"기흥구 구성로 105-15 (언남동, 동일하이빌1차아파트)",경기 용인시 기흥구 언남동 486,127.12536179435,37.2947865035939
406,기흥구,언남동,분양,동부아파트,446,1998.12.03.,"기흥구 구성로 123 (언남동, 하마비마을동부아파트)",경기 용인시 기흥구 언남동 240-1,127.121929368991,37.293370775761
407,기흥구,중동 ,분양,어정마을 동백아이파크,313,2007.03.22.,"기흥구 언동로217번길 11 (중동, 어정마을동백아이파크아파트)",경기 용인시 기흥구 중동 1081,127.144735602602,37.2771000876953
408,기흥구,보라동,분양,한보라마을 휴먼시아6단지,762,2008.04.17.,"기흥구 한보라1로 91 (보라동, 한보라마을휴먼시아6단지아파트)",경기 용인시 기흥구 보라동 620,127.106282330996,37.2479667393955
409,기흥구,마북동,분양,교동마을 신창아파트,490,1996.12.23.,"기흥구 마북로 186 (마북동, 교동마을신창아파트)",경기 용인시 기흥구 마북동 143,127.126780680363,37.3054590259479
410,기흥구,동백동,분양,해든마을 동백동문굿모닝힐,512,2007.11.30.,"기흥구 동백죽전대로 455-10 (동백동, 해든마을동문굿모닝힐아파트)",경기 용인시 기흥구 동백동 689,127.151431633723,37.2797770784079
